,Unnamed: 0,Restaurant Name,Number of Stars,City,Country,Price,Cuisine_type_1,Cuisine_type_1.1
1475,1475,Le Passe Temps,1,Lyon, France,$$$,Creative,
1476,1476,Le Grand Cerf,1,Montchenot, France,$$$$,Classic Cuisine,
1477,1477,La Sommelière,1,Lyon, France,$$$,Modern Cuisine,
1478,1478,Saisons,1,Marseille, France,$$$,Modern Cuisine,
1479,1479,Le Cap,1,Saint-Jean-Cap-Ferrat, France,$$$$,Creative,
1480,1480,Auberge au Bœuf,1,Sessenheim, France,$$$,Modern Cuisine,
1481,1481,Le Pot d'Étain,1,Danjoutin, France,$$$,Modern Cuisine,
1482,1482,Auberge Pom'Poire,1,Azay-le-Rideau, France,$$$,Modern Cuisine,
1483,1483,La Renaissance,1,Argentan, France,$$$,Modern Cuisine,
1484,1484,"Pavyllon, un restaurant de Yannick Alléno, Monte-Carlo",1,Monaco, France,$$$$,, Modern Cuisine
1485,1485,Claude Darroze,1,Langon, France,$$$,Classic Cuisine,
1486,1486,Auberge St-Laurent,1,Sierentz, France,$$$,, Modern Cuisine
1487,1487,L'O des Vignes,1,Fuissé, France,$$$,Modern Cuisine,
1488,1488,L'Oustalet,1,Gigondas, France,$$$,Modern Cuisine,
1489,1489,La Table de Chaintré,1,Chaintré, France,$$$,Modern Cuisine,
1490,1490,Gordon Ramsay au Trianon,1,Versailles, France,$$$$,Creative,
1491,1491,L'Empreinte,1,Buxy, France,$$$,Modern Cuisine,
1492,1492,Le Bénaton,1,Beaune, France,$$$,Creative,
1493,1493,Girardin - Gastronomique,1,Colmar, France,$$$$,, Modern Cuisine
1494,1494,Mickaël Féval,1,Aix-en-Provence, France,$$$,Modern Cuisine,
1495,1495,Auberge de la Tour,1,Marcolès, France,$$$,Modern Cuisine,
1496,1496,Le Carmin,1,Beaune, France,$$$$,Modern Cuisine,
1497,1497,La Réserve Rimbaud,1,Montpellier, France,$$$,Modern Cuisine,
1498,1498,Le Sénéchal,1,Sauveterre-de-Rouergue, France,$$$,Modern Cuisine,
1499,1499,Restaurant de Tourrel,1,Saint-Rémy-de-Provence, France,$$$$,Modern Cuisine,
1500,1500,Hostellerie de l'Abbaye de la Celle,1,La Celle, France,$$$,, Mediterranean Cuisine
1501,1501,Le Champ des Lunes,1,Lauris, France,$$$$,Modern Cuisine,
1502,1502,Le Saint-Martin,1,Vence, France,$$$,, Modern Cuisine
1503,1503,Saisons,1,Écully, France,$$$,Modern Cuisine,
1504,1504,Le Panoramic,1,Tignes, France,$$$,, Traditional Cuisine
